distance,distribution,trigger,dod,instance_name
29361.03506533563,C,endogenous,0.25,p83
29158.79893405937,C,endogenous,0.25,p83
30884.533267574825,C,endogenous,0.25,p83
29325.637527244227,C,endogenous,0.25,p83
31414.132798991817,C,endogenous,0.25,p83
30134.648830948012,C,endogenous,0.25,p83
27254.593859076533,C,endogenous,0.25,p83
32831.611588978616,C,endogenous,0.25,p83
29344.702754357462,C,endogenous,0.25,p83
28664.93418205705,C,endogenous,0.25,p83
28542.601838227358,C,endogenous,0.25,p83
29490.884726395645,C,endogenous,0.25,p83
30165.79521486984,C,endogenous,0.25,p83
27498.891904692544,C,endogenous,0.25,p83
27203.741637889554,C,endogenous,0.25,p83
27900.385159441947,C,endogenous,0.25,p83
29070.844015622548,C,endogenous,0.25,p83
30465.60300589442,C,endogenous,0.25,p83
30334.854840889562,C,endogenous,0.25,p83
28182.709948572232,C,endogenous,0.25,p83
31814.98281940876,C,endogenous,0.25,p83
31041.67846782633,C,endogenous,0.25,p83
28255.453646582515,C,endogenous,0.25,p83
30088.66945458339,C,endogenous,0.25,p83
28756.095482265537,C,endogenous,0.25,p83
28704.85999834186,C,endogenous,0.25,p83
29165.497763520932,C,endogenous,0.25,p83
27497.924332698683,C,endogenous,0.25,p83
28470.938788356234,C,endogenous,0.25,p83
31391.524181753968,C,endogenous,0.25,p83
27952.66759430303,C,endogenous,0.25,p83
29401.836958084434,C,endogenous,0.25,p83
31669.657468432597,C,endogenous,0.25,p83
30514.06234689436,C,endogenous,0.25,p83
33806.73369374263,C,endogenous,0.25,p83
30009.48189693357,C,endogenous,0.25,p83
32562.247153320342,C,endogenous,0.25,p83
28946.284308621678,C,endogenous,0.25,p83
31714.775355058315,C,endogenous,0.25,p83
29792.670393407036,C,endogenous,0.25,p83
31063.06275764932,C,endogenous,0.25,p83
24320.852545330963,C,endogenous,0.25,p84
25510.26637796461,C,endogenous,0.25,p84
24803.201959199552,C,endogenous,0.25,p84
25209.038267222484,C,endogenous,0.25,p84
25125.523310427045,C,endogenous,0.25,p84
25766.5024666152,C,endogenous,0.25,p84
24662.017106919102,C,endogenous,0.25,p84
27348.287859887056,C,endogenous,0.25,p84
25837.078058437728,C,endogenous,0.25,p84
26267.79539140149,C,endogenous,0.25,p84
26291.924921714293,C,endogenous,0.25,p84
25292.976228896547,C,endogenous,0.25,p84
24764.741810337946,C,endogenous,0.25,p84
23859.403992953925,C,endogenous,0.25,p84
25939.768532411752,C,endogenous,0.25,p84
25767.34853897632,C,endogenous,0.25,p84
24637.57637148489,C,endogenous,0.25,p84
24440.824580896817,C,endogenous,0.25,p84
25525.49027942267,C,endogenous,0.25,p84
24252.761120529518,C,endogenous,0.25,p84
25814.73234142668,C,endogenous,0.25,p84
23711.586606889337,C,endogenous,0.25,p84
