,distance,num_discovered_nodes,distribution,trigger,dod,visibility,instance_name
2896,725.8491793636745,0.0,R,endogenous,0.75,200,p78
2897,851.1536529611025,0.0,R,endogenous,0.75,200,p79
2898,901.9122369140953,0.0,R,endogenous,0.75,200,p80
2899,790.2087754081914,0.0,R,endogenous,0.75,200,p81
2900,2443.8714544722375,8.77544320028023,R,endogenous,0.75,20,p62
2901,3095.4936708249957,9.649255061884297,R,endogenous,0.75,20,p63
2902,3118.89114760009,9.426570112699304,R,endogenous,0.75,20,p64
2903,2485.3048832762297,9.907075252364969,R,endogenous,0.75,20,p65
2904,2654.835800769337,9.151843119994858,R,endogenous,0.75,20,p66
2905,4128.426060038131,9.797869630675839,R,endogenous,0.75,20,p67
2906,3905.7431863356705,10.545605905853328,R,endogenous,0.75,20,p68
2907,3086.7650235572733,9.612225962553213,R,endogenous,0.75,20,p69
2908,2220.410911660164,8.66151134107002,R,endogenous,0.75,20,p70
2909,2391.8647897241926,9.126729911614117,R,endogenous,0.75,20,p71
2910,2349.2122409137633,9.28764955054127,R,endogenous,0.75,20,p72
2911,2781.5459001737468,8.804597570323708,R,endogenous,0.75,20,p73
2912,3627.8552489687777,10.374446088956319,R,endogenous,0.75,20,p74
2913,2543.5082334510303,8.88701252371339,R,endogenous,0.75,20,p75
2914,3034.7234132567237,9.436114990102789,R,endogenous,0.75,20,p76
2915,2215.357468647467,8.833469424457707,R,endogenous,0.75,20,p77
2916,2250.3431780264905,8.28584226695326,R,endogenous,0.75,20,p78
2917,3197.4647494051833,9.784169458303323,R,endogenous,0.75,20,p79
2918,3200.912119187235,9.159797528128145,R,endogenous,0.75,20,p80
2919,2930.334824615772,7.86731706944295,R,endogenous,0.75,20,p81
2920,2745.887308045397,9.25214790718126,R,endogenous,0.75,30,p62
2921,3824.353394290966,10.152530696915951,R,endogenous,0.75,30,p63
2922,2921.001068393639,8.402413952197882,R,endogenous,0.75,30,p64
2923,2483.5381679357492,10.393029203384783,R,endogenous,0.75,30,p65
2924,2957.47076057093,9.220269808966549,R,endogenous,0.75,30,p66
2925,3867.4439456219757,9.808070620653174,R,endogenous,0.75,30,p67
2926,3860.9517387496157,9.724136132809521,R,endogenous,0.75,30,p68
2927,2843.290381483066,9.034574113469029,R,endogenous,0.75,30,p69
2928,2364.9048135574735,9.438845624475965,R,endogenous,0.75,30,p70
2929,2585.409248308753,9.776748126118862,R,endogenous,0.75,30,p71
2930,2680.622582564407,10.586445538123392,R,endogenous,0.75,30,p72
2931,3040.4823672853126,8.974598451571344,R,endogenous,0.75,30,p73
2932,3673.802470703723,8.770170828355822,R,endogenous,0.75,30,p74
2933,2696.2686212862964,9.458608042753577,R,endogenous,0.75,30,p75
2934,3196.637193833442,10.245433498052936,R,endogenous,0.75,30,p76
2935,2506.1683195754863,9.051173376739527,R,endogenous,0.75,30,p77
2936,2790.338972828092,9.304136003880828,R,endogenous,0.75,30,p78
2937,3365.485701110414,9.51176479249708,R,endogenous,0.75,30,p79
2938,3042.5571690395873,8.754730613973756,R,endogenous,0.75,30,p80
2939,3159.874918903288,7.001555449432974,R,endogenous,0.75,30,p81
2940,2496.8329252347676,8.285246412946892,R,endogenous,0.75,40,p62
2941,3401.935869380719,8.95458507344338,R,endogenous,0.75,40,p63
2942,2945.367641268102,10.18352255620132,R,endogenous,0.75,40,p64
2943,2440.654054234635,9.324390473542024,R,endogenous,0.75,40,p65
2944,2698.2983614621535,8.654393647839502,R,endogenous,0.75,40,p66
2945,3121.7625243673297,7.564841090749454,R,endogenous,0.75,40,p67
2946,3563.076994250819,9.615285304378325,R,endogenous,0.75,40,p68
2947,3318.283813938498,9.197456565970462,R,endogenous,0.75,40,p69
2948,2397.3343300582387,8.957587585401555,R,endogenous,0.75,40,p70
2949,2756.9570775818215,10.24550184828685,R,endogenous,0.75,40,p71
2950,2497.529653123585,9.118946324703812,R,endogenous,0.75,40,p72
2951,2853.81534821747,9.07668852114051,R,endogenous,0.75,40,p73
2952,3882.0801562785264,8.365193995851813,R,endogenous,0.75,40,p74
2953,2809.525111824999,9.182002704719041,R,endogenous,0.75,40,p75
2954,3174.763541353249,8.841444930518074,R,endogenous,0.75,40,p76
2955,2897.5985281776148,10.746111927977832,R,endogenous,0.75,40,p77
2956,2844.4498243177095,8.954596803964352,R,endogenous,0.75,40,p78
2957,2887.1304593842174,7.354370449323472,R,endogenous,0.75,40,p79
2958,2931.7340977757244,8.364524260616532,R,endogenous,0.75,40,p80
2959,2445.3336082056644,4.003639800564111,R,endogenous,0.75,40,p81
2960,2439.0822960095784,7.7747526463215895,R,endogenous,0.75,50,p62
2961,2788.348071470298,6.881876494796736,R,endogenous,0.75,50,p63
2962,2428.847982992912,7.812508823524428,R,endogenous,0.75,50,p64
2963,1957.273862890541,7.240641598387707,R,endogenous,0.75,50,p65
2964,2584.368004543294,7.33494380075431,R,endogenous,0.75,50,p66
2965,3474.153187045424,8.046277215632848,R,endogenous,0.75,50,p67
2966,2862.680625552455,6.358544836436618,R,endogenous,0.75,50,p68
2967,2670.993123699648,6.735285861064254,R,endogenous,0.75,50,p69
2968,2030.6713011847482,6.996392627913443,R,endogenous,0.75,50,p70
2969,2454.8084147337127,9.33771905761142,R,endogenous,0.75,50,p71
2970,2402.33538012545,8.270594361497666,R,endogenous,0.75,50,p72
2971,2775.4817994992895,8.02824146774534,R,endogenous,0.75,50,p73
2972,3133.9641148615724,6.418848077673881,R,endogenous,0.75,50,p74
2973,2818.7849882855594,8.408175126838495,R,endogenous,0.75,50,p75
